"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
15857436,"evrik1",54244,5754.63,1450.21401193141,8570,"Israel"
13142372,"Naozumi",37958,6338.15,1450.20229388071,8571,"Hong Kong"
7889571,"Tirado",10335,8483.87,1450.13315296173,8572,"United States"
16548147,"c1lura",3353,10386.5,1450.12751779453,8573,"Russian Federation"
17049803,"SongDD",21381,7276.44,1450.11853773028,8574,"China"
17008453,"slimwish",4751,9797.94,1450.08320787554,8575,"Russian Federation"
24910091,"krokodil_koban",623551,1461.18,1450.06191216603,8576,"Russian Federation"
8909292,"electimon",8173,8859.41,1450.05356268427,8577,"United States"
24442298,"niksx",13240,8076.34,1450.04257064742,8578,"Malaysia"
13808735,"Shuvii",17892,7565.4,1449.99927017934,8579,"United States"
18365123,"muvi_zen",98013,4777.61,1449.97503153135,8580,"Russian Federation"
13780464,"OniisanBaka",43512,6117.77,1449.9734109735,8581,"Poland"
18341280,"Lowuki",168048,3805.16,1449.9472442452,8582,"Romania"
9556054,"Mostrax",42011,6172.38,1449.91479585088,8583,"Russian Federation"
7342601,"eats200",57748,5651.75,1449.91109429788,8584,"United States"
25353340,"Fgr Plays",74908,5227.67,1449.90824157277,8585,"United States"
31380427,"Icyyycrem",4181323,13.7829,1449.81265957544,8586,"Hong Kong"
16800939,"Rina-Chan",102840,4696.72,1449.80948536898,8587,"Malaysia"
13890993,"-Noval-",15528,7806.04,1449.79665097086,8588,"Colombia"
24780575,"H i r a",3036182,65.7076,1449.78037786645,8589,"Indonesia"
31039412,"yanhuaz14",4472508,9.14975,1449.75197582159,8590,"China"
11273927,"Zeeno",9409,8625.31,1449.74947021302,8591,"United States"
16090138,"CubiC",36567,6400.15,1449.72816766838,8592,"Sweden"
31654659,"paoza557",43982,6100.37,1449.72084350206,8593,"Thailand"
23377167,"mokia",14192,7957.08,1449.64019447781,8594,"South Korea"
18371932,"-aico",325,14652.5,1449.62474258643,8595,"United Arab Emirates"
8238365,"FrostIce",58422,5631.83,1449.6203448413,8596,"Philippines"
8822111,"Shiho-",180873,3667.64,1449.61139807231,8597,"Mexico"
5268451,"Lilgamer1444",39931,6256.95,1449.60340280034,8598,"United States"
10218998,"Bomb",23617,7114.16,1449.59182282526,8599,"Chile"
25520572,"Aevli26",1165743,668.849,1449.58145352518,8600,"China"
23847539,"Wakeshima Kanon",188140,3594.21,1449.56749779104,8601,"Russian Federation"
20106440,"ISKI",209252,3398.11,1449.52326104541,8602,"United States"
5634959,"CookieSan",52284,5815.59,1449.50485392504,8603,"Indonesia"
17468160,"- Kiro1 -",38469,6316.69,1449.4752593272,8604,"Philippines"
15741611,"Futsuyama",100883,4730.17,1449.465951962,8605,"Russian Federation"
28029337,"-Vaxei-",83801,5039.56,1449.46306149394,8606,"Ukraine"
20161368,"matcha parfait",10208,8504.51,1449.39924606299,8607,"United Kingdom"
4673232,"Tewlifying",36911,6385.37,1449.39454045086,8608,"United States"
27072070,"mangoee",29754,6736.11,1449.39255397868,8609,"Canada"
29953258,"buslik",174217,3737.1,1449.3078095471,8610,"Czechia"
13000940,"Merikku",39328,6281.29,1449.29881748907,8611,"Canada"
10996232,"Maeryy",18452,7516.29,1449.27966296669,8612,"Germany"
21574034,"Oskie",27087,6889.21,1449.27477952603,8613,"Brunei"
14035351,"miuko-",160840,3886.71,1449.27379910224,8614,"Canada"
32403397,"jjaaammiiiee",67085,5407.29,1449.27093434516,8615,"United Kingdom"
20267982,"Aqy",267310,2942.5,1449.27049727897,8616,"Philippines"
12346126,"ayalala 1",9050,8686.49,1449.2666825672,8617,"United Kingdom"
25134106,"AimlessFreak",29570,6746.99,1449.26477671163,8618,"Philippines"
22965253,"sqzme",42837,6143.26,1449.25425229378,8619,"Russian Federation"
