UserID,Username,GlobalRank,PP,RME,Location
19100657,Milkydesu,238108,3157.3,,Brazil
8004633,Xeroblic,16743,7677.97,,Chile
27286589,deadinside123,2138298,208.36,,Ukraine
18918740,Hxnzx,97860,4780.74,,Brazil
23549996,webby355,19069,7462.45,,United Kingdom
8728357,Matiko,3244,10442.1,,Chile
15378480,regisnalin,181673,3659.71,,Brazil
10601382,D4NT,106747,4635.54,,Brazil
20434125,Quartez,39233,6285.37,,Brazil
7309946,w1nEss,4229,10008.5,,Greece
6900708,Spells,7622,8972.02,,United States
4282963,vitoco,2874,10651.2,,Chile
14847288,Kiriyama Reii,86493,4985.88,,Türkiye
22136262,yukinya,94537,4839.92,,Japan
21893727,maidkedi,11984,8240.21,,Türkiye
11917029,reinum,27392,6874.01,,Slovakia
17521260,ChaosDynamic,1827718,302.438,,United Kingdom
9048451,XxTheJKxX,163374,3857.49,,Malaysia
2512267,Nazrin on osu,220428,3302.19,,Taiwan
17209166,nyansunrise,66706,5416.77,,Russian Federation
10409226,DiluteOsu,56711,5682.42,,Australia
8192004,Y u w a n,8613,8766.33,,Taiwan
10194919,5oulpoint,389785,2267.22,,Malaysia
961417,Xay,,0,,Germany
27634214,Wresty,684113,1321.68,,United States
24414822,Maarten,62642,5517.18,,Netherlands
18403985,KokumoNox,48400,5944.01,,Austria
16587033,Romcom Enjoyer,4362,9951.2,,Vietnam
11759371,TipTop3,63621,5492.71,,Russian Federation
7807368,zMici,83734,5041.21,,Finland
14272234,Hide in closet,1634,11658.9,,Spain
9315355,SkroutzRekd,4625,9839.15,,Greece
19890605,iamlyxus,67292,5401.91,,Germany
12299400,Zosu,8701,8747.74,,Netherlands
11734954,Bananakuyo,21036,7304.5,,United States
23681294,Deaccing,46394,6012.48,,United Kingdom
17912167,BryceTK,50578,5869.54,,Malaysia
9707890,leminhchanh,120306,4426.44,,Vietnam
15191079,speedbeats24,51244,5848.55,,Netherlands
25912065,Syntexos,364071,2387.17,,Germany
17652842,Caboozled_Pie,1671,11619.2,,United States
16268369,Akai-iwa,153127,3981.28,,Brazil
24440315,baatyy,124825,4360.85,,Brazil
15647447,CrispyBurger,176837,3709.55,,Colombia
12572097,Darkness Kat,34746,6483.48,,Brazil
11804789,zSubaru,23774,7103.16,,Brazil
10194478,Hogrider,6583,9233.42,,United States
13438575,hb20monstro,89228,4935.94,,Brazil
14041793,NooBunny,86209,4990.87,,Brazil
2944295,Arayveth,157543,3926.27,,United States
16270685,rosaIia,178176,3695.71,,Denmark
21854062,flamer6249,49727,5898.79,,Switzerland
11624101,hxovc,1615,11684.1,,Colombia
5798859,awadito2,175048,3728.42,,Peru
15746440,Hit0ri,100625,4734.32,,Brazil
10129439,Rodri418,93203,4863.86,,Mexico
16633271,uniqxe,12181,8212.61,,United States
22908812,Lighttie,777295,1138.22,,Jordan
2152699,ChiSuki,6606,9227.73,,South Korea
16886804,Cerveza_,8750,8738.94,,South Korea
16005674,MR SOMEBODYVON,62947,5509.25,,Kazakhstan
18084318,pitugian,149531,4026.19,,Panama
23853148,Final_Zenix,28694,6797.79,,Germany
31065707,akakiryofun,482782,1886.78,,Russian Federation
17557184,ShamiruKi,15606,7797.58,,Kazakhstan
18882017,jedj,86869,4979.07,,Russian Federation
16226445,GreatEvilManuel,145075,4083.64,,United States
25568885,Liko Meru,3945419,19.0343,,Brazil
8953852,Pelmeenid,32003,6619.94,,Ukraine
8282027,krakeN03,50713,5865.51,,Russian Federation
11083463,LethanAxeger,37066,6378.03,,Indonesia
24454846,cairnsbuyshow,,0,,Ireland
14701776,Cizz,1254,12187.7,,Kuwait
16152517,NerushI,200846,3474.48,,Indonesia
18859362,Polar-,30205,6713.9,,United States
13220969,Shidooooo,152983,3983.15,,Italy
17508666,Kianaa,41661,6186.25,,Malaysia
6411190,Ntikakis,3028,10551.3,,Greece
26667745,[- schwi -],99215,4757.76,,United Kingdom
13916615,-Franks-,131702,4263.55,,Dominican Republic
15451703,Seasky,475062,1914.87,,France
17684905,Swayzeee,1326,12062.2,,Australia
18219860,Facco,78983,5139.21,,Italy
12064598,ChokeBeater,18944,7472.29,,Indonesia
19795821,Bry 2,1964,11313.6,,Italy
11447395,[Jigoku],128945,4300.77,,Poland
12663870,aux_13,9790,8563.51,,United States
23192579,mishhu,26042,6954.46,,Belgium
8195972,kwotaq,4358,9952.39,,Greece
11351617,IDontLiam,19555,7423.0,,Israel
7782625,Digitalyzed,21614,7257.9,,Uruguay
11920926,Zeir-kun,197225,3509.23,,Czechia
16171657,Qervaask,17844,7570.25,,United States
6296832,I_Wanna_Die_,25648,6978.72,,Slovakia
13700033,dicedmangoes,243559,3115.03,,United States
15719518,Excessor,445716,2027.72,,United States
31214722,Jermstan,583189,1567.51,,Taiwan
14531430,nycta,2005,11292.3,,United States
16110534,Feb07,116000,4488.74,,Indonesia
18866570,DisconnectedACE,87804,4962.35,,United States
11692528,Lubei_01,350085,2456.7,,China
20939891,Moichu,81062,5094.49,,United States
17493476,Kaoli,1847,11441.4,,Australia
20800529,Salihardo0,683473,1323.03,,Ukraine
1200113,Thatgooey,12966,8109.92,,United States
11034716,1234567899999,290727,2788.58,,New Zealand
19271086,TeDic,82771,5060.16,,Russian Federation
19947782,Hypnotoad,203725,3447.95,,United States
14512540,Ravelfett,19681,7411.73,,France
11571945,Epik_Kryz03,589168,1550.92,,Belarus
12665928,DarkModeV,19171,7452.88,,Russian Federation
18159765,gBopHuk_play,303213,2713.16,,Russian Federation
11659029,Destros,1252,12190.1,,United States
13265567,Speedsterkp23,388152,2274.72,,Canada
26133850,-Lean-,3385918,40.8643,,Nicaragua
8306102,Fairy Bread,309603,2674.49,,Australia
21105275,Rubae,,0,,Singapore
12039847,sorgenfresser,106350,4640.68,,Germany
1913736,theramdans,206486,3422.45,,Indonesia
17501619,ruletik1337,150614,4013.62,,Russian Federation
11350151,ananascka,107495,4622.41,,Ukraine
17301849,okiey,67387,5400.04,,Malaysia
10836918,boiitech,47200,5984.65,,Poland
8715819,Kokushi Musou,33900,6524.13,,Czechia
17245855,Cinderella_,17710,7584.78,,Finland
8865297,SansREPZ,2323,11034.3,,Spain
18137684,NS_Mayler,287300,2810.24,,United States
3955274,Internet Thot,10715,8425.59,,United Kingdom
29333698,Lord Protein,113284,4531.34,,United States
9266841,OverConfidence,164887,3840.02,,Canada
19842654,24hz,48071,5955.29,,Russian Federation
3674872,MrTrapa,9290,8645.84,,Italy
13212961,joofyjeffy,182808,3647.01,,United States
18595366,HonokaKousakaTV,31738,6633.29,,Canada
2242038,ItsDoloop,369224,2361.99,,United States
17205720,jpek1209,10075,8524.45,,United States
29061341,Arcquinox,22266,7210.91,,United States
9259266,Wickn,67960,5385.71,,Denmark
10095948,Daykeyboard,46502,6008.96,,United States
21258529,AVoiDzzZ,581916,1570.91,,United Kingdom
16760593,cherrzies,122901,4388.65,,China
566276,Rocma,159464,3903.74,,South Korea
11874864,LastChance103,715540,1255.89,,United States
13660757,waduhek72,106629,4636.79,,Vietnam
3020145,Ganter,125468,4351.59,,Russian Federation
12109419,SliderBroke,32441,6597.16,,United States
20336879,Fastens,7623,8971.88,,United States
4752123,Remyuu,394,14293.3,,Germany
28618587,Slowpoke609,,0,,Taiwan
2304771,Milliana,491780,1854.93,,Indonesia
14347059,Kochindera,151839,3998.18,,Singapore
3053382,melon boy,52092,5821.86,,Denmark
16766427,speedifix,63742,5489.81,,Hungary
6465811,h p p y,39959,6255.78,,Indonesia
10764424,Mantozi,1780812,319.746,,China
19166235,Rans0m,62069,5532.56,,United States
3436126,Sharuru,16464,7705.22,,Philippines
19756851,-Ryz,59328,5606.69,,Malaysia
10167120,Rise893,7888,8917.38,,Russian Federation
11058193,GodKnows,15435,7816.91,,Malaysia
4552977,NESQIK,23409,7131.06,,Russian Federation
11495122,Dealife,40616,6228.59,,Russian Federation
6149947,Hranolka,6035,9392.01,,Slovakia
15176638,vanza0204,6067,9381.04,,Indonesia
19874113,vkid66,20967,7308.63,,Russian Federation
9995116,joiechii,128256,4310.68,,United States
20636251,uhm_,10527,8453.63,,Russian Federation
15811661,TayKo,111788,4555.44,,Canada
